candidate_id,name,skills,experience_years,job_title,activity_score,education
1,Candidate_1,Python machine learning deep learning TensorFlow data analysis,5,ML Engineer,62,B.Tech CS
2,Candidate_2,Java Spring Boot REST API microservices Docker,3,Java Developer,82,MCA
3,Candidate_3,Python data science pandas numpy scikit-learn visualization,4,Data Scientist,67,M.Tech AI
4,Candidate_4,JavaScript React Node.js HTML CSS frontend development,2,Frontend Dev,84,B.Tech IT
5,Candidate_5,Python AI NLP transformer BERT GPT language models,6,AI Engineer,94,PhD AI
6,Candidate_6,SQL database MySQL PostgreSQL data warehousing ETL,7,Database Admin,64,B.Tech CS
7,Candidate_7,Python TensorFlow keras neural networks computer vision,5,Deep Learning Engineer,97,M.Tech ML
8,Candidate_8,C++ algorithms data structures competitive programming,2,Software Dev,62,B.Tech CS
9,Candidate_9,Python scikit-learn random forest XGBoost feature engineering,4,ML Engineer,61,M.Tech DS
10,Candidate_10,AWS cloud computing DevOps CI/CD Jenkins Kubernetes,6,Cloud Engineer,81,B.Tech CS
11,Candidate_11,Python NLP text classification sentiment analysis spacy,3,NLP Engineer,69,M.Tech NLP
12,Candidate_12,R statistics data analysis regression modeling visualization,5,Data Analyst,69,MSc Stats
13,Candidate_13,Python deep learning CNN image recognition OpenCV,4,Computer Vision Engineer,75,M.Tech AI
14,Candidate_14,JavaScript TypeScript Angular frontend UI UX design,2,Frontend Dev,90,B.Tech IT
15,Candidate_15,Python reinforcement learning OpenAI gym reward optimization,3,RL Engineer,95,PhD ML
16,Candidate_16,Tableau Power BI data visualization business intelligence,6,BI Analyst,80,MBA Analytics
17,Candidate_17,Python time series forecasting ARIMA LSTM prediction,5,Data Scientist,93,M.Tech DS
18,Candidate_18,Java Android mobile development Kotlin Firebase,2,Mobile Dev,70,B.Tech IT
19,Candidate_19,Python recommendation system collaborative filtering,4,ML Engineer,87,M.Tech CS
20,Candidate_20,Cybersecurity ethical hacking penetration testing network,3,Security Engineer,90,B.Tech CS
21,Candidate_21,Python pandas data cleaning wrangling EDA exploratory,4,Data Analyst,86,B.Tech CS
22,Candidate_22,Machine learning model deployment Flask FastAPI REST,5,ML Engineer,90,M.Tech CS
23,Candidate_23,Python graph neural networks knowledge graphs embeddings,6,AI Researcher,72,PhD AI
24,Candidate_24,Blockchain Solidity smart contracts Web3 cryptocurrency,2,Blockchain Dev,72,B.Tech CS
25,Candidate_25,Python AutoML hyperparameter tuning model optimization,3,AutoML Engineer,82,M.Tech AI
26,Candidate_26,Data engineering Apache Spark Kafka Hadoop big data,7,Data Engineer,69,M.Tech DE
27,Candidate_27,Python GANs generative adversarial networks image synthesis,4,AI Researcher,99,PhD AI
28,Candidate_28,iOS Swift mobile development Xcode Apple development,2,iOS Dev,71,B.Tech IT
29,Candidate_29,Python anomaly detection fraud detection outlier analysis,5,Fraud Detection Engineer,64,M.Tech CS
30,Candidate_30,Natural language processing question answering chatbot LLM,6,NLP Engineer,99,PhD NLP
31,Candidate_31,Python ensemble methods bagging boosting stacking models,3,ML Engineer,63,M.Tech ML
32,Candidate_32,UI UX design Figma Adobe XD prototyping user research,2,UI Designer,68,B.Des
33,Candidate_33,Python transfer learning pretrained models fine-tuning BERT,5,NLP Engineer,91,PhD NLP
34,Candidate_34,Robotics ROS automation embedded systems IoT sensors,4,Robotics Engineer,63,B.Tech Robotics
35,Candidate_35,Python multimodal AI vision language models CLIP DALL-E,3,Multimodal AI Engineer,96,PhD AI
36,Candidate_36,Data science statistics hypothesis testing A/B testing,6,Data Scientist,74,MSc Stats
37,Candidate_37,Python object detection YOLO real-time video processing,4,Computer Vision Engineer,95,M.Tech CS
38,Candidate_38,Game development Unity C# 3D modeling game design,2,Game Dev,74,B.Tech CS
39,Candidate_39,Python causal inference econometrics experimental design,5,Data Scientist,67,PhD Stats
40,Candidate_40,Search engine Elasticsearch Solr information retrieval ranking,7,Search Engineer,69,M.Tech CS
41,Candidate_41,Python vector databases FAISS Pinecone semantic search,4,ML Engineer,90,M.Tech AI
42,Candidate_42,Agile project management Scrum product management roadmap,3,Product Manager,94,MBA
43,Candidate_43,Python MLOps model monitoring Weights Biases MLflow,5,MLOps Engineer,89,M.Tech CS
44,Candidate_44,Network engineering TCP/IP routing switching firewall,2,Network Engineer,77,B.Tech CS
45,Candidate_45,Python speech recognition audio processing whisper NLP,4,Speech Engineer,77,M.Tech CS
46,Candidate_46,Business analytics Excel VBA financial modeling forecasting,6,Business Analyst,60,MBA
47,Candidate_47,Python federated learning privacy preserving distributed ML,3,ML Researcher,71,PhD ML
48,Candidate_48,Cloud ML GCP Vertex AI Azure ML SageMaker deployment,5,Cloud ML Engineer,61,M.Tech CS
49,Candidate_49,Python knowledge distillation model compression edge AI,4,ML Engineer,81,M.Tech AI
50,Candidate_50,Full stack Python Django React PostgreSQL REST API deployment,6,Full Stack Developer,65,B.Tech CS
