Rank,Name,Job Title,Experience (yrs),Skill Match %,Activity Score,Final Score
1,Candidate_1,ML Engineer,5,43.77,62,51.12
2,Candidate_30,NLP Engineer,6,23.23,99,43.31
3,Candidate_22,ML Engineer,5,24.31,90,40.3
4,Candidate_7,Deep Learning Engineer,5,19.01,97,37.29
5,Candidate_5,AI Engineer,6,11.02,94,34.26
6,Candidate_23,AI Researcher,6,12.48,72,33.08
7,Candidate_48,Cloud ML Engineer,5,17.0,61,32.28
8,Candidate_26,Data Engineer,7,5.28,69,30.6
9,Candidate_13,Computer Vision Engineer,4,15.5,75,29.78
10,Candidate_3,Data Scientist,4,16.33,67,29.56
11,Candidate_33,NLP Engineer,5,8.55,91,29.37
12,Candidate_6,Database Admin,7,2.84,64,28.39
13,Candidate_50,Full Stack Developer,6,6.13,65,27.94
14,Candidate_12,Data Analyst,5,8.79,69,27.34
15,Candidate_43,MLOps Engineer,5,5.71,89,27.19
16,Candidate_16,BI Analyst,6,2.91,80,27.18
17,Candidate_49,ML Engineer,4,10.86,81,27.13
18,Candidate_40,Search Engineer,7,0.0,69,26.9
19,Candidate_36,Data Scientist,6,2.82,74,26.51
20,Candidate_47,ML Researcher,3,14.96,71,26.14
21,Candidate_9,ML Engineer,4,12.14,61,26.03
22,Candidate_27,AI Researcher,4,6.32,99,25.75
23,Candidate_35,Multimodal AI Engineer,3,10.73,96,25.68
24,Candidate_10,Cloud Engineer,6,0.0,81,25.24
25,Candidate_37,Computer Vision Engineer,4,5.9,95,25.06
26,Candidate_17,Data Scientist,5,1.18,93,24.41
27,Candidate_29,Fraud Detection Engineer,5,5.17,64,24.3
28,Candidate_15,RL Engineer,3,8.89,95,24.29
29,Candidate_45,Speech Engineer,4,6.49,77,23.67
30,Candidate_46,Business Analyst,6,0.0,60,23.14
31,Candidate_21,Data Analyst,4,4.29,86,23.03
32,Candidate_39,Data Scientist,5,1.3,67,21.9
33,Candidate_25,AutoML Engineer,3,6.55,82,21.36
34,Candidate_19,ML Engineer,4,1.6,87,21.25
35,Candidate_41,ML Engineer,4,1.16,90,21.24
36,Candidate_11,NLP Engineer,3,5.87,69,19.58
37,Candidate_42,Product Manager,3,0.0,94,17.97
38,Candidate_34,Robotics Engineer,4,0.0,63,17.73
39,Candidate_20,Security Engineer,3,0.0,90,17.57
40,Candidate_2,Java Developer,3,0.0,82,16.77
41,Candidate_31,ML Engineer,3,1.18,63,15.7
42,Candidate_14,Frontend Dev,2,0.0,90,14.71
43,Candidate_8,Software Dev,2,3.38,62,14.28
44,Candidate_4,Frontend Dev,2,0.0,84,14.11
45,Candidate_44,Network Engineer,2,0.0,77,13.41
46,Candidate_38,Game Dev,2,0.0,74,13.11
47,Candidate_24,Blockchain Dev,2,0.0,72,12.91
48,Candidate_28,iOS Dev,2,0.0,71,12.81
49,Candidate_18,Mobile Dev,2,0.0,70,12.71
50,Candidate_32,UI Designer,2,0.0,68,12.51
