Rank,Candidate_ID,Name,Job_Title,Experience_Years,Skill_Match_%,Activity_Score,Final_Score
1,1,Candidate_1,ML Engineer,5,36.68,62,48.7
2,30,Candidate_30,NLP Engineer,6,19.47,65,41.83
3,26,Candidate_26,Data Engineer,7,4.43,95,41.66
4,22,Candidate_22,ML Engineer,5,20.38,70,40.51
5,48,Candidate_48,Cloud ML Engineer,5,14.25,87,40.23
6,23,Candidate_23,AI Researcher,6,10.46,84,40.22
7,5,Candidate_5,AI Engineer,6,9.24,86,39.89
8,50,Candidate_50,Full Stack Developer,6,5.14,91,38.43
9,40,Candidate_40,Search Engineer,7,0.0,90,38.0
10,43,Candidate_43,MLOps Engineer,5,4.79,96,36.36
11,13,Candidate_13,Computer Vision Engineer,4,12.99,85,36.22
12,7,Candidate_7,Deep Learning Engineer,5,15.93,61,36.04
13,10,Candidate_10,Cloud Engineer,6,0.0,94,35.94
14,47,Candidate_47,ML Researcher,3,12.54,98,35.69
15,33,Candidate_33,NLP Engineer,5,7.17,83,35.19
16,6,Candidate_6,Database Admin,7,2.38,67,34.83
17,37,Candidate_37,Computer Vision Engineer,4,4.94,98,34.0
18,3,Candidate_3,Data Scientist,4,13.69,70,33.64
19,35,Candidate_35,Multimodal AI Engineer,3,8.99,98,33.57
20,45,Candidate_45,Speech Engineer,4,5.44,94,33.49
21,49,Candidate_49,ML Engineer,4,9.1,82,33.29
22,15,Candidate_15,RL Engineer,3,7.45,97,32.44
23,9,Candidate_9,ML Engineer,4,10.17,74,32.33
24,46,Candidate_46,Business Analyst,6,0.0,73,31.74
25,29,Candidate_29,Fraud Detection Engineer,5,4.33,70,30.88
26,36,Candidate_36,Data Scientist,6,2.36,61,30.76
27,12,Candidate_12,Data Analyst,5,7.36,60,30.7
28,16,Candidate_16,BI Analyst,6,2.44,60,30.61
29,21,Candidate_21,Data Analyst,4,3.59,84,30.38
30,39,Candidate_39,Data Scientist,5,1.09,77,30.34
31,34,Candidate_34,Robotics Engineer,4,0.0,94,30.23
32,41,Candidate_41,ML Engineer,4,0.97,88,29.61
33,17,Candidate_17,Data Scientist,5,0.99,72,29.28
34,27,Candidate_27,AI Researcher,4,5.29,64,27.41
35,19,Candidate_19,ML Engineer,4,1.34,74,27.03
36,2,Candidate_2,Java Developer,3,0.0,90,26.57
36,42,Candidate_42,Product Manager,3,0.0,90,26.57
38,11,Candidate_11,NLP Engineer,3,4.92,71,25.72
39,25,Candidate_25,AutoML Engineer,3,5.49,68,25.47
40,32,Candidate_32,UI Designer,2,0.0,95,24.71
41,18,Candidate_18,Mobile Dev,2,0.0,93,24.31
41,14,Candidate_14,Frontend Dev,2,0.0,93,24.31
43,4,Candidate_4,Frontend Dev,2,0.0,91,23.91
44,31,Candidate_31,ML Engineer,3,0.99,72,23.57
45,44,Candidate_44,Network Engineer,2,0.0,87,23.11
46,24,Candidate_24,Blockchain Dev,2,0.0,78,21.31
47,20,Candidate_20,Security Engineer,3,0.0,61,20.77
48,38,Candidate_38,Game Dev,2,0.0,75,20.71
49,8,Candidate_8,Software Dev,2,2.83,66,20.61
50,28,Candidate_28,iOS Dev,2,0.0,61,17.91
